id,gene,chr,start,end
aho1,AHO1,chr1,1000,2000
aho2,AHO2,chr1,2000,3000
aho3,AHO3,chr1,3000,4000
aho4,AHO4,chr1,4000,5000
aho5,AHO5,chr1,5000,6000
aho6,AHO6,chr1,6000,7000
aho7,AHO7,chr1,7000,8000
aho8,AHO8,chr1,8000,9000
aho9,AHO9,chr1,9000,10000
aho10,AHO10,chr1,10000,11000
aho11,AHO11,chr1,11000,12000
aho12,AHO12,chr1,12000,13000
aho13,AHO13,chr1,13000,14000
aho14,AHO14,chr1,14000,15000
aho15,AHO15,chr1,15000,16000
aho16,AHO16,chr1,16000,17000
aho17,AHO17,chr1,17000,18000
aho18,AHO18,chr1,18000,19000
aho19,AHO19,chr1,19000,20000

